^c	ınca,ince,unca,ünce
;c	ıncı,inci,uncu,üncü
^*	tıkça,tikçe,tukça,tükçe
;*	dıkça,dikçe,dukça,dükçe
^d	tıkları,tikleri,tukları,tükleri
;d	dıkları,dikleri,dukları,dükleri
^e	lara,lere
;e	ları,leri
^g	gan,gen
;g	gın,gin,gun,gün
^<	mayı,meyi
;<	mağa,meğe
^i	tığı,tiği,tuğu,tüğü
;i	dığı,diği,duğu,düğü
^j	tır,tir,tur,tür
;j	dır,dur,dür
;k	ken
^l	luk,lük
;l	lık,lik
;m	madan,meden
^n	nun,nün
;n	nın,nin
;o	yor
;r	arak,erek
;s	ması,mesi
^%	muş,müş
;%	mış,miş
^t	tıktan,tikten,tuktan,tükten
;t	dıktan,dikten,duktan,dükten
;y	ıyla,iyle,uyla,üyle
^z	suz,süz
;z	sız,siz
^!	sun,sün
;!	sın,sin
^q	lığa,liğe,luğa,lüğe
;q	lığı,liği,luğu,lüğü
;/	malı,meli
^]	cak,cek
;]	cağı,ceği
